Unnamed: 0,x_i,x_j,Label
422,his mom turned from the window as,she watched the two of them walk away.,GPT2
423,"using her momentum , he spun her around",and threw her into the air.,GPT2
424, i thought we already established that the cat,was a good cat.,GPT2
425,my legs almost gave way as she kissed,him.,GPT2
426,hanging out with caleb and olivia,".""I'm not sure if I'm going to be able to do it,",GPT2
427,all afternoon he had tried to believe the,"story of the ""dissident"" who had been arrested for allegedly stealing a car.",GPT2
428,"for her sake , though , i tried","to say that she was a good person, but she was not.",GPT2
429,"maybe that sounded juvenile , but",I'm not sure I'm ready to say that.,GPT2
430,some would say he got lost on,the way to the airport.,GPT2
431,a cry of relief,".""I'm not going to be able to do that,",GPT2
432,"just stab , slice and plop ,",and so on.,GPT2
433,"and that he had caused it , well ,","he had done it , and he had done it ,",GPT2
434,"emberlee said cheerfully to him ,","""I'm going to be the first one to get a job.",GPT2
435,"the paramedics could n't tell us anything ,",but they were able to tell us that the man was dead.,GPT2
436,she did not know just how much time actually passed,between the two of them.,GPT2
437, reasoning with him is,that he is a man of great integrity and integrity.,GPT2
438," when really , your",body is just a little bit more flexible.,GPT2
439,the episode on the kitchen floor was the,first time I saw the show.,GPT2
440,"leisurely , i took in the view of","the world, and the world was not a place of leisurely leisure.",GPT2
441,in my mother 's diary she wrote that,she had been told by her mother that she was going to be a 'fellow' in the church.,GPT2
442,i like to stay on my,toes.,GPT2
443,"my lips moved away from her mouth ,",and she looked at him with a smile.,GPT2
444,i think back with some shame on the,part of the people who were involved in the project.,GPT2
445,though at least his father was,"a good man, and he was a good man,",GPT2
446, what earthly difference can,make.,GPT2
447,"zack knew , but he was still too",busy to do anything about it.,GPT2
448,you lose -  her sword whistled,".""I'm sorry,",GPT2
449,"leo holds up a hand , shutting him",down.,GPT2
450,trey traded the wine list for,a $1.,GPT2
451,more proof that consultancy is easy,to get.,GPT2
452, i always use twisted gut,ters.,GPT2
453,i wish i could have done more to,help them.,GPT2
454,did you get in and decide to talk to,"me?""""I'm not going to talk to you,"" I said.",GPT2
455,this is no way to,"get a good deal on a car, but it's a good deal for a lot of people,"" said Mr.",GPT2
456,"the memory of their first meeting still rankled ,",and they were not able to find a way to get to the meeting.,GPT2
457,we 're very lucky,' to have been able to get a job in the UK.,GPT2
458," well , i 'm",not sure if it's a good idea to use a different name for the same thing.,GPT2
459,he opened his eyes to look over at,the two of them.,GPT2
460,i hightail it down to the basement,".""I'm going to go get some food,",GPT2
461, the only truth is that we 're,not going to be able to do anything about it.,GPT2
462,"thus , new orleans",", and the like.",GPT2
463,"no brush this time , just being close",to the edge of the brush.,GPT2
464,if anyone understood that,", I would have been a little more careful.",GPT2
465,"with mia 's surprise party that afternoon ,",and the fact that she was wearing a black dress and a black skirt.,GPT2
466,"he searched the land ,",and found a place where he could find a place where he could find a place where he could find a place where he could find a place where he could find a place where he could find a place where he could find a,GPT2
467,"larry , do you remember",the first time you saw a man in a suit?I remember the first time I saw a man in a suit.,GPT2
468,"at first , it was no more than",a few minutes before the first of the two teams had to be called up.,GPT2
469,but there was nothing we,could do about it.,GPT2
470,nor had she been,"in the hospital, she would have been dead.",GPT2
471, lahn - '' i whispered again as,I looked at the man in the mirror.,GPT2
472, we have to,be careful about what we say.,GPT2
473, when patricia told you she was,going to be there.,GPT2
474,"rafe reached over and deftly loaded six bullets ,",the bullet ricocheted off the wall and hit the ground.,GPT2
475,you want to destroy it now ... and destroy,it in the future.,GPT2
476,"which was not , in eddie 's","case,",GPT2
477,"i was n't entirely certain , but",he was sure that he could get a good deal of the money.,GPT2
478,that meant he was slightly,"more likely to be killed by a bullet than a bullet from a gun, but he was still a very good shooter.",GPT2
479,she gave a small sigh of,relief.,GPT2
480,"he ran down the street ,","and he was like, ""I'm going to kill you.",GPT2
481,it did n't matter what faile dressed him,".""I'm not going to tell you what to do,",GPT2
482,"she asked , suddenly feeling an",urge to go to the bathroom.,GPT2
483,"well , he couldnt very well",have been a good player.,GPT2
484,"eric then took off his coat , rolled",up his sleeves and walked out of the room.,GPT2
485, because you 're,not going to be able to do that.,GPT2
486,mr. hamilton had come forward to the edge of,"the room and said, ""I'm going to tell you what I think about this.",GPT2
487,she began to say,", ""I'm not going to do this.",GPT2
488,"outside , in the distance there were shouts ,",and a few others.,GPT2
489,"he had married a younger sister of the family ,",and had a son named John .,GPT2
490,start eating the pancakes,".The next day,",GPT2
491,"it was her , that asked me to",do it.,GPT2
492,one cabby even made a point to call,"out the ""fucking"" word.",GPT2
493,she pulled the fine black,leather jacket over her head and pulled out a small box of cigarettes.,GPT2
494,"i start back , a",lot of people are saying that it's not a good idea to start a new game.,GPT2
495, daniel has already told me that you,'re going to be a great player.,GPT2
496,only the best trainees are,in the world.,GPT2
497,we 'll see you in a,few weeks.,GPT2
498, there are normally many ways,to get a job.,GPT2
499,"when darkness had come , taleniekov had begun",to be seen in the dark.,GPT2
500," good for you guys , ''",said the man.,GPT2
501,she did n't travel route 4 on the,way to the airport.,GPT2
502,"casper took a deep breath , stepped back",and looked at the ground.,GPT2
503,and it would be fun to go to,the beach and see what the beach looks like.,GPT2
504," no , i just want to forget it",".I'm not sure if I'm going to be able to do this,",GPT2
505,there they found a lump under the,"skin of a baby girl, and she was crying,"" said the woman, who asked not to be named.",GPT2
506,nancy and malcolm entered from the side,of the road.,GPT2
507,he tugged her closer and,"whispered, ""I'm sorry, I'm sorry.",GPT2
508,they stood-and then they paused a,moment and looked at each other.,GPT2
509,any restrictions they could place,on the use of the Internet.,GPT2
510, we may be on neutral ground right,now.,GPT2
511,ethan gives a brief wave as,he walks away.,GPT2
512,he simply nodded at me from,behind.,GPT2
513,the terra treaties are the reason autumn and,winter are so hard to come by.,GPT2
514,"kittens have wet , moisture , soft ,",and dry skin.,GPT2
515,she might even throw herself into,the fight.,GPT2
516,i 'm hanging off the handle,"of a car'The man, who was not identified, was arrested on suspicion of driving under the influence of alcohol.",GPT2
517,as he spoke he quietly wondered to himself,", ""What is this?""""I'm not sure,"" said the man, ""but I think I know what it is.",GPT2
518,as everyone 's eyes bugged,me.,GPT2
519,he straightened from a squat position,and began to walk.,GPT2
520,justin unbuttoned his shirt and opened it to,"reveal a large, black,",GPT2
521,smoke and steam poured forth from the ground floor,of the building.,GPT2
522,we 'd been invited to every charity event in,"the world, and I'm sure they're all going to be there.",GPT2
523,"as he wondered what to do , he",was told to go to the house of the Lord and go to the house of the Lord and go to the house of the Lord and go to the house of the Lord and go to the house of the Lord,GPT2
524,i decided i was no longer in the,right place at the right time.,GPT2
525,he looked really handsome in a black suit with,a black tie and a black tie-dye shirt.,GPT2
526,he stood in the middle,"of the room, his eyes wide.",GPT2
527,it 's no wonder that aro was,so popular.,GPT2
528,he rolled his feet flat from ball to,ball.,GPT2
529,"yes , and not only that , according","to the Bible, the Lord will not be able to save the world from the wrath of God.",GPT2
530,"water shimmered invitingly , steam","y,",GPT2
531,it warmed in a way i,could not have imagined.,GPT2
532,lower her onto the,floor.,GPT2
533,he curled his lip in,a smile.,GPT2
534,he found where burrell had tied up his,wife and children.,GPT2
535,"as the stage crew did their thing , the","stage crew did their thing , and the stage crew did their thing .",GPT2
536,"she grabbed it , holding it by the corners",of her mouth.,GPT2
537," there are not many reporters left , but is",there any chance that the story will be picked up by the mainstream media?The answer is no.,GPT2
538,one look at the tears in her eyes,".""I'm sorry, I'm sorry,",GPT2
539,there were no more nerves or first time,'s notice.,GPT2
540," you must n't blame yourself ,",you must be able to do it.,GPT2
